"Nachname","Vorname","Stimmen","BFS-Nr.","Gemeindenamen","Bisher","Gewählt","Wahlkreis-Nr.","Wahlkreis","Kandidaten-Nr."
"Ackermann","Pia","3669","20261","Zürich, Kreis 3","1","1","2","KR 2019 - Wahlkreis II, Stadt Zürich 3+9","2_203"
"Ackermann","Pia","3036","60261","Zürich, Kreis 9","1","1","2","KR 2019 - Wahlkreis II, Stadt Zürich 3+9","2_203"
"Ackermann","Ruth","691","80261","Zürich, Kreis 11","1","1","6","KR 2019 - Wahlkreis VI, Stadt Zürich 11+12","6_601"
"Ackermann","Ruth","266","90261","Zürich, Kreis 12","1","1","6","KR 2019 - Wahlkreis VI, Stadt Zürich 11+12","6_601"
"Adam","Tobias","126","191","Dübendorf","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_707"
"Adam","Tobias","58","192","Egg","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_707"
"Adam","Tobias","26","193","Fällanden","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_707"
"Adam","Tobias","39","194","Greifensee","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_707"
"Adam","Tobias","52","195","Maur","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_707"
"Adam","Tobias","31","196","Mönchaltorf","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_707"
"Adam","Tobias","40","197","Schwerzenbach","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_707"
"Adam","Tobias","337","198","Uster","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_707"
"Adam","Tobias","40","199","Volketswil","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_707"
"Adam","Tobias","25","200","Wangen-Brüttisellen","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_707"
"Aeberhard","Eveline","184","191","Dübendorf","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_607"
"Aeberhard","Eveline","70","192","Egg","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_607"
"Aeberhard","Eveline","75","193","Fällanden","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_607"
"Aeberhard","Eveline","63","194","Greifensee","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_607"
"Aeberhard","Eveline","86","195","Maur","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_607"
"Aeberhard","Eveline","19","196","Mönchaltorf","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_607"
"Aeberhard","Eveline","40","197","Schwerzenbach","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_607"
"Aeberhard","Eveline","202","198","Uster","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_607"
"Aeberhard","Eveline","240","199","Volketswil","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_607"
"Aeberhard","Eveline","29","200","Wangen-Brüttisellen","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_607"
"Aegerter","Christian","41","51","Bachenbülach","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","78","52","Bassersdorf","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","187","53","Bülach","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","44","54","Dietlikon","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","117","55","Eglisau","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","72","56","Embrach","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","25","57","Freienstein-Teufen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","38","58","Glattfelden","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","39","59","Hochfelden","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
