"Listen-Nr.";"Liste Code";"Liste";"Kandidatenstimmen";"Stimmen von unveränderten Wahlzetteln";"Stimmen von veränderten Wahlzetteln";"Panaschierstimmen";"Panaschierstimmen pro 1'000 listenfremde Wahlzettel";"Panaschierstimmen von SVP-Listen";"Panaschierstimmen von SP-Listen";"Panaschierstimmen von FDP-Listen";"Panaschierstimmen von glp-Listen";"Panaschierstimmen von CVP-Listen";"Panaschierstimmen von GRÜNE-Listen";"Panaschierstimmen von BDP-Listen";"Panaschierstimmen von EVP-Listen";"Panaschierstimmen von JG-Listen";"Panaschierstimmen von JFZH-Listen";"Panaschierstimmen von Piraten-Listen";"Panaschierstimmen von IP-Listen";"Panaschierstimmen von CVP Frauen-Listen";"Panaschierstimmen von JUSO-Listen";"Panaschierstimmen von ÖKO-Listen";"Panaschierstimmen von Sarantidis-Listen";"Panaschierstimmen von die Guten-Listen";"Panaschierstimmen von JCVP-Listen";"Panaschierstimmen von uglp-Listen";"Panaschierstimmen von CSV-Listen";"Panaschierstimmen von Frauen EVP-Listen";"Panaschierstimmen von up!-Listen";"Panaschierstimmen von sglp-Listen";"Panaschierstimmen von PdA-Listen";"Panaschierstimmen von AL-Listen";"Panaschierstimmen von SD-Listen";"Panaschierstimmen von Junge EVP-Listen";"Panaschierstimmen von 55plus-Listen";"Panaschierstimmen von jglp-Listen";"Panaschierstimmen von GrüneM/S-Listen";"Panaschierstimmen von EDU-Listen";"Panaschierstimmen von JSVP-Listen";"Panaschierstimmen von leeren Listen";"Unveränderte Wahlzettel der Liste";"Veränderte Wahlzettel der Liste";"Total Wahlzettel der Liste";"Total listenfremde Wahlzettel";"Zusatzstimmen der Liste";"Listenstimmen"
22;"up!";"Unabhängigkeitspartei up!";8505;4380;4125;1316;3.2;332;52;368;128;19;18;32;16;11;202;37;30;1;1;0;6;4;2;14;0;2;;0;0;5;4;2;2;5;1;1;21;374;146;106;252;411365;1035;9540
23;"sglp";"Grünliberale, senior GLP";40450;17745;22705;12373;30.12;342;1315;639;4743;377;1113;205;371;382;25;100;289;69;49;37;3;110;78;681;43;74;7;;4;45;57;88;30;1027;5;35;30;3815;507;293;800;410817;1346;41796
24;"PdA";"Linke Alternative, Partei der Arbeit";44218;26285;17933;7504;18.28;69;2212;48;175;51;1944;35;75;601;3;95;193;8;630;31;0;133;1;9;0;15;3;3;;1071;8;21;1;27;36;4;2;1742;751;355;1106;410511;1053;45271
25;"AL";"Linke Alternative, AL – Alternative Liste";229719;120680;109039;34407;84.85;238;14061;308;1368;169;12041;230;207;1848;12;311;846;31;1364;70;7;237;4;33;18;30;7;24;589;;18;40;10;150;121;14;1;4669;3448;2675;6123;405494;4870;234589
26;"SD";"Schweizer Demokraten (SD)";26102;16625;9477;2647;6.44;1290;88;115;127;96;89;79;134;9;9;48;31;29;3;2;3;16;23;7;6;25;8;20;15;12;;5;34;12;2;240;70;923;475;259;734;410883;1140;27242
27;"Junge EVP";"Evangelische Volkspartei (EVP), Junge EVP";47901;18760;29141;11381;27.72;445;1197;367;1206;481;1209;244;3127;801;49;100;211;117;110;42;0;171;90;132;43;344;4;71;42;63;44;;8;343;17;290;13;3694;536;564;1100;410517;1583;49484
28;"55plus";"SVP Schweizerische Volkspartei, 55plus";67704;37975;29729;15352;37.44;10949;349;1803;631;331;122;226;125;3;59;35;28;50;2;0;1;16;33;31;9;3;9;16;0;10;75;11;;18;5;205;197;1760;1085;479;1564;410053;2346;70050
29;"jglp";"Grünliberale, Junge Grünliberale";108355;54670;53685;20335;49.74;253;2162;1012;10586;282;2026;229;201;848;116;198;400;75;108;41;3;147;71;1000;24;39;10;197;11;88;7;108;11;;28;13;41;5949;1562;1238;2800;408817;4135;112490
30;"GrüneM/S";"Grüne, Migrant*innen und Second@s";35604;16415;19189;12943;31.49;112;3468;180;1130;170;4104;81;191;1280;6;125;296;43;493;28;5;149;30;53;16;20;10;47;61;526;6;70;4;229;;9;1;2878;469;165;634;410983;648;36252
31;"EDU";"EDU Eidgenössisch-Demokratische Union";231499;158585;72914;11647;28.75;6752;184;646;429;487;131;242;1823;18;11;47;49;72;2;0;22;7;48;41;32;106;8;24;14;10;151;95;46;7;2;;141;2162;4531;2032;6563;405054;3523;235022
32;"JSVP";"SVP Schweizerische Volkspartei, Junge";47217;19866;27351;10241;24.95;7611;80;773;359;129;94;165;79;17;265;53;12;21;6;2;2;22;30;19;4;2;46;3;0;9;70;14;99;26;4;225;;1688;602;610;1212;410405;3507;50724
