bfs;gmd;hh1_risikopersonen;hh11_alleinstehend;hh12_paar_beide_alt;hh13_paar_eine_person_alt;hh2_kinderbetreuungsproblem;hh21_alleinerziehend;hh22_elternpaar;hh3_andere
81;Bachs;33.87096774;6.85483871;16.93548387;10.08064516;16.93548387;2.822580645;14.11290323;49.19354839
82;Boppelsen;29.94923858;10.65989848;13.36717428;5.922165821;19.96615905;1.015228426;18.95093063;50.08460237
83;Buchs;22.34352256;8.042212518;8.806404658;5.494905386;20.63318777;2.001455604;18.63173217;57.02328967
84;Dällikon;26.80705748;8.764940239;11.32612408;6.71599317;20.20489471;1.309049516;18.89584519;52.98804781
85;Dänikon;25.09752926;8.452535761;10.79323797;5.851755527;21.58647594;2.860858257;18.72561769;53.3159948
86;Dielsdorf;26.99884125;10.69911163;11.00811124;5.291618385;17.57435303;1.35187331;16.22247972;55.42680572
87;Hüttikon;24.65373961;8.033240997;8.587257618;8.033240997;29.6398892;1.385041551;28.25484765;45.70637119
88;Neerach;30.9540151;9.471516815;13.65820178;7.8242965;14.20727522;1.235415237;12.97185999;54.83870968
89;Niederglatt;25.83254044;10.32350143;9.609895338;5.899143673;18.79162702;1.236917222;17.5547098;55.37583254
90;Niederhasli;26.19725602;9.319181983;10.87237898;6.005695056;21.01993269;2.045042713;18.97488998;52.78281129
91;Niederweningen;25.16233766;9.00974026;10.71428571;5.438311688;21.1038961;1.704545455;19.39935065;53.73376623
92;Oberglatt;19.65336821;8.306082407;6.572923479;4.774362328;19.75147155;1.635055592;18.11641596;60.59516024
93;Oberweningen;27.01986755;6.887417219;13.24503311;6.887417219;17.21854305;1.589403974;15.62913907;55.7615894
94;Otelfingen;27.08333333;8.416666667;12.25;6.416666667;22.75;2.166666667;20.58333333;50.16666667
95;Regensberg;28.25112108;9.417040359;14.34977578;4.484304933;13.4529148;2.69058296;10.76233184;58.29596413
96;Regensdorf;27.03144654;11.11949686;10.31446541;5.597484277;19.52201258;1.924528302;17.59748428;53.44654088
97;Rümlang;25.34207526;10.88939567;8.865450399;5.58722919;20.52451539;1.767388826;18.75712657;54.13340935
98;Schleinikon;26.31578947;6.501547988;10.21671827;9.59752322;18.26625387;0.92879257;17.3374613;55.41795666
99;Schöfflisdorf;33.55371901;13.55371901;12.56198347;7.438016529;17.52066116;1.157024793;16.36363636;48.92561983
100;Stadel;27.59315206;10.47331319;10.27190332;6.847935549;18.42900302;1.611278953;16.81772407;53.97784491
101;Steinmaur;27.25527831;10.62060141;11.13243762;5.502239283;18.87396033;1.279590531;17.5943698;53.87076136
102;Weiach;20.7980653;5.92503023;8.4643289;6.408706167;18.37968561;1.451027811;16.9286578;60.82224909
111;Bäretswil;32.33901515;9.706439394;14.58333333;8.049242424;19.64962121;1.65719697;17.99242424;48.01136364
112;Bubikon;31.7775571;11.05594174;13.73717312;6.984442238;19.59616021;1.456471367;18.13968884;48.62628269
