"spatialunit_ontology","spatialunit_hist_id","spatialunit_current_id","spatialunit_name_de","spatialunit_name_fr","spatialunit_name_it","spatialunit_name_en","valid_from","valid_until","canton_hist_id","district_hist_id"
"A.ADM3",11837,4093,"Birrhard","Birrhard","Birrhard","Birrhard","01.01.1960","",19,10023
"A.ADM3",11840,4303,"Böttstein","Böttstein","Böttstein","Böttstein","01.01.1960","",19,10016
"A.ADM3",11845,4273,"Bottenwil","Bottenwil","Bottenwil","Bottenwil","01.01.1960","",19,10017
"A.ADM3",11851,4094,"Bözen","Bözen","Bözen","Bözen","01.01.1960","",19,10023
"A.ADM3",11856,4023,"Bergdietikon","Bergdietikon","Bergdietikon","Bergdietikon","01.01.1960","",19,10025
"A.ADM3",11857,4062,"Berikon","Berikon","Berikon","Berikon","01.01.1960","",19,10024
"A.ADM3",11860,4225,"Benzenschwil","Benzenschwil","Benzenschwil","Benzenschwil","01.01.1960","31.12.2011",19,10019
"A.ADM3",11875,4224,"Beinwil (Freiamt)","Beinwil (Freiamt)","Beinwil (Freiamt)","Beinwil (Freiamt)","01.01.1960","",19,10019
"A.ADM3",11881,4022,"Bellikon","Bellikon","Bellikon","Bellikon","01.01.1960","",19,10025
"A.ADM3",11886,4131,"Beinwil am See","Beinwil am See","Beinwil am See","Beinwil am See","01.01.1960","",19,10022
"A.ADM3",11888,4226,"Besenbüren","Besenbüren","Besenbüren","Besenbüren","01.01.1960","",19,10019
"A.ADM3",11899,4024,"Birmenstorf (AG)","Birmenstorf (AG)","Birmenstorf (AG)","Birmenstorf (AG)","01.01.1960","",19,10025
"A.ADM3",11901,4092,"Birr","Birr","Birr","Birr","01.01.1960","",19,10023
"A.ADM3",11910,4227,"Bettwil","Bettwil","Bettwil","Bettwil","01.01.1960","",19,10019
"A.ADM3",11913,4132,"Birrwil","Birrwil","Birrwil","Birrwil","01.01.1960","",19,10022
"A.ADM3",11916,4002,"Biberstein","Biberstein","Biberstein","Biberstein","01.01.1960","",19,10026
"A.ADM3",11946,4028,"Freienwil","Freienwil","Freienwil","Freienwil","01.01.1960","",19,10025
"A.ADM3",11953,4163,"Frick","Frick","Frick","Frick","01.01.1960","",19,10021
"A.ADM3",11994,4100,"Hausen bei Brugg","Hausen bei Brugg","Hausen bei Brugg","Hausen bei Brugg","01.01.1960","31.12.2002",19,10023
"A.ADM3",11996,4197,"Hallwil","Hallwil","Hallwil","Hallwil","01.01.1960","",19,10020
"A.ADM3",11998,4027,"Fislisbach","Fislisbach","Fislisbach","Fislisbach","01.01.1960","",19,10025
"A.ADM3",11999,4306,"Fisibach","Fisibach","Fisibach","Fisibach","01.01.1960","",19,10016
"A.ADM3",12000,4099,"Habsburg","Habsburg","Habsburg","Habsburg","01.01.1960","",19,10023
"A.ADM3",12004,4068,"Hägglingen","Hägglingen","Hägglingen","Hägglingen","01.01.1960","",19,10024
"A.ADM3",12006,4067,"Fischbach-Göslikon","Fischbach-Göslikon","Fischbach-Göslikon","Fischbach-Göslikon","01.01.1960","",19,10024
"A.ADM3",12047,4135,"Gontenschwil","Gontenschwil","Gontenschwil","Gontenschwil","01.01.1960","",19,10022
"A.ADM3",12065,4165,"Gipf-Oberfrick","Gipf-Oberfrick","Gipf-Oberfrick","Gipf-Oberfrick","01.01.1960","",19,10021
"A.ADM3",12074,4098,"Gallenkirch","Gallenkirch","Gallenkirch","Gallenkirch","01.01.1960","31.12.2012",19,10023
"A.ADM3",12091,4307,"Full-Reuenthal","Full-Reuenthal","Full-Reuenthal","Full-Reuenthal","01.01.1960","",19,10016
"A.ADM3",12104,4232,"Geltwil","Geltwil","Geltwil","Geltwil","01.01.1960","",19,10019
"A.ADM3",12110,4029,"Gebenstorf","Gebenstorf","Gebenstorf","Gebenstorf","01.01.1960","",19,10025
"A.ADM3",12114,4164,"Gansingen","Gansingen","Gansingen","Gansingen","01.01.1960","",19,10021
"A.ADM3",12115,4006,"Gränichen","Gränichen","Gränichen","Gränichen","01.01.1960","",19,10026
"A.ADM3",12122,4134,"Dürrenäsch","Dürrenäsch","Dürrenäsch","Dürrenäsch","01.01.1960","",19,10022
"A.ADM3",12126,4096,"Effingen","Effingen","Effingen","Effingen","01.01.1960","",19,10023
"A.ADM3",12139,4199,"Holderbank (AG)","Holderbank (AG)","Holderbank (AG)","Holderbank (AG)","01.01.1960","",19,10020
"A.ADM3",12140,4136,"Holziken","Holziken","Holziken","Holziken","01.01.1960","",19,10022
"A.ADM3",12153,4070,"Hilfikon","Hilfikon","Hilfikon","Hilfikon","01.01.1960","31.12.2009",19,10024
"A.ADM3",12157,4066,"Eggenwil","Eggenwil","Eggenwil","Eggenwil","01.01.1960","",19,10024
"A.ADM3",12158,4007,"Hirschthal","Hirschthal","Hirschthal","Hirschthal","01.01.1960","",19,10026
"A.ADM3",12167,4195,"Egliswil","Egliswil","Egliswil","Egliswil","01.01.1960","",19,10020
"A.ADM3",12170,4161,"Eiken","Eiken","Eiken","Eiken","01.01.1960","",19,10021
"A.ADM3",12179,4200,"Hunzenschwil","Hunzenschwil","Hunzenschwil","Hunzenschwil","01.01.1960","",19,10020
"A.ADM3",12210,4304,"Döttingen","Döttingen","Döttingen","Döttingen","01.01.1960","",19,10016
"A.ADM3",12211,4167,"Hornussen","Hornussen","Hornussen","Hornussen","01.01.1960","",19,10021
"A.ADM3",12214,4101,"Hottwil","Hottwil","Hottwil","Hottwil","01.01.1960","31.12.2009",19,10023
"A.ADM3",12217,4065,"Dottikon","Dottikon","Dottikon","Dottikon","01.01.1960","",19,10024
"A.ADM3",12228,4251,"Hellikon","Hellikon","Hellikon","Hellikon","01.01.1960","",19,10018
"A.ADM3",12235,4198,"Hendschiken","Hendschiken","Hendschiken","Hendschiken","01.01.1960","",19,10020
"A.ADM3",12243,4097,"Elfingen","Elfingen","Elfingen","Elfingen","01.01.1960","",19,10023
"A.ADM3",12246,4162,"Etzgen","Etzgen","Etzgen","Etzgen","01.01.1960","31.12.2009",19,10021
"A.ADM3",12252,4196,"Fahrwangen","Fahrwangen","Fahrwangen","Fahrwangen","01.01.1960","",19,10020
"A.ADM3",12277,4026,"Ennetbaden","Ennetbaden","Ennetbaden","Ennetbaden","01.01.1960","",19,10025
"A.ADM3",12289,4305,"Endingen","Endingen","Endingen","Endingen","01.01.1960","31.12.2013",19,10016
"A.ADM3",12299,4005,"Erlinsbach","Erlinsbach","Erlinsbach","Erlinsbach","01.01.1960","31.12.2005",19,10026
"A.ADM3",12310,4069,"Hermetschwil-Staffeln","Hermetschwil-Staffeln","Hermetschwil-Staffeln","Hermetschwil-Staffeln","01.01.1960","31.12.2013",19,10024
"A.ADM3",12317,4166,"Herznach","Herznach","Herznach","Herznach","01.01.1960","",19,10021
"A.ADM3",12321,4106,"Mönthal","Mönthal","Mönthal","Mönthal","01.01.1960","",19,10023
"A.ADM3",12328,4277,"Moosleerau","Moosleerau","Moosleerau","Moosleerau","01.01.1960","",19,10017
"A.ADM3",12335,4279,"Murgenthal","Murgenthal","Murgenthal","Murgenthal","01.01.1960","",19,10017
"A.ADM3",12353,4278,"Mühlethal","Mühlethal","Mühlethal","Mühlethal","01.01.1960","31.12.2001",19,10017
"A.ADM3",12354,4107,"Mülligen","Mülligen","Mülligen","Mülligen","01.01.1960","",19,10023
"A.ADM3",12355,4255,"Mumpf","Mumpf","Mumpf","Mumpf","01.01.1960","",19,10018
