Stand,Kanton,Jahr,Stufe,Schultyp,Geschlecht,Nationalitaet,Finanzierung,Anzahl
23.11.2020,zh,2000,Sekundarstufe II,Heim- und Sonderschule,F,Ausländer,oef,10
23.11.2020,zh,2000,Sekundarstufe II,Berufsfachschule,M,Ausländer,oef,3913
23.11.2020,zh,2000,Sekundarstufe II,Mittelschule,M,Ausländer,priv,198
23.11.2020,zh,2000,Sekundarstufe II,Mittelschule,F,Ausländer,oef,382
23.11.2020,zh,2000,Sekundarstufe II,Brückenangebot,F,CH,priv,148
23.11.2020,zh,2000,Sekundarstufe II,Brückenangebot,F,Ausländer,priv,41
23.11.2020,zh,2000,Sekundarstufe II,Mittelschule,M,CH,oef,3714
23.11.2020,zh,2000,Sekundarstufe II,Berufsfachschule,M,CH,oef,16265
23.11.2020,zh,2000,Sekundarstufe II,Brückenangebot,F,CH,oef,675
23.11.2020,zh,2000,Sekundarstufe II,Berufsfachschule,F,CH,oef,12176
23.11.2020,zh,2000,Sekundarstufe II,Berufsfachschule,F,Ausländer,oef,2355
23.11.2020,zh,2000,Sekundarstufe II,Mittelschule,F,CH,priv,710
23.11.2020,zh,2000,Sekundarstufe II,Mittelschule,M,Ausländer,oef,276
23.11.2020,zh,2000,Sekundarstufe II,Heim- und Sonderschule,M,Ausländer,oef,21
23.11.2020,zh,2000,Sekundarstufe II,Heim- und Sonderschule,F,Ausländer,priv,1
23.11.2020,zh,2000,Sekundarstufe II,Berufsfachschule,F,CH,priv,2340
23.11.2020,zh,2000,Sekundarstufe II,Heim- und Sonderschule,F,CH,oef,39
23.11.2020,zh,2000,Sekundarstufe II,Mittelschule,F,Ausländer,priv,194
23.11.2020,zh,2000,Sekundarstufe II,Mittelschule,F,CH,oef,5187
23.11.2020,zh,2000,Sekundarstufe II,Brückenangebot,M,Ausländer,oef,464
23.11.2020,zh,2000,Sekundarstufe II,Berufsfachschule,M,Ausländer,priv,275
23.11.2020,zh,2000,Sekundarstufe II,Heim- und Sonderschule,F,CH,priv,4
23.11.2020,zh,2000,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,Ausländer,oef,236
23.11.2020,zh,2000,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,CH,oef,1503
23.11.2020,zh,2000,Tertiärstufe,Höhere Berufsbildung,M,CH,priv,2970
23.11.2020,zh,2000,Tertiärstufe,Höhere Berufsbildung,F,Ausländer,oef,248
23.11.2020,zh,2000,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,Ausländer,priv,90
23.11.2020,zh,2000,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,CH,oef,2263
23.11.2020,zh,2000,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,Ausländer,oef,249
