data_name;organization_name;division_name;department_name;body_name;published;published_format;published_source;published_ressource;accrualPeriodicity;release_status;status_description;status_updated;dct:issued;dct:publisher;dct:title
Anzahl Stellen nach Einsatzbereichen;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Anzahl Stellen im Bereich Pflege nach Ausbildung;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Anzahl Stellenpro 1 000 Unterbringungstage;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Anzahl Stellen pro Bett;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Nettobetriebskosten nach Kostenträgerart;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Betriebsertrag;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Nettobetriebskosten;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Nettobetriebskosten pro Unterbringungstag;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Nettobetriebskosten pro Unterbringungstag nach Betriebsgrösse und Pflegeintensität;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Nettobetriebskosten total pro Unterbringungstag (in CHF);Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Anzahl Spitex-Organisationen;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
