Stand,Kanton,Jahr,Stufe,Typ,Geschlecht,Finanzierung,Land,Anzahl
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Spanien,5
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Australien,2
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,F,oef,Serbien,3
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Österreich,1
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,F,oef,Schweiz,554
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Nord-/Westeuropa,13
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Staat unbekannt,1
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Griechenland,2
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Süd-/Osteuropa,4
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,M,oef,Italien,2
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Türkei,1
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Nord-/Westeuropa,52
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Asien,5
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Schweiz,494
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Bosnien und Herzegowina,2
23.11.2020,zh,2000,Sekundarstufe II,Informatikmittelschule,F,oef,Serbien,1
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,F,oef,Australien,1
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,F,oef,Asien,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Afrika,1
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,F,oef,Österreich,1
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,M,oef,Serbien,1
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Mittel- und Südamerika,2
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Griechenland,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Süd-/Osteuropa,14
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,F,oef,Griechenland,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Frankreich,7
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Nordmazedonien,4
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Nord-/Westeuropa,52
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,F,oef,Asien,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Griechenland,9
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Portugal,5
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Asien,14
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,F,oef,Süd-/Osteuropa,2
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Spanien,16
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Griechenland,2
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Serbien,64
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Nordamerika,6
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Italien,63
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Schweiz,123
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Frankreich,1
23.11.2020,zh,2000,Sekundarstufe II,Informatikmittelschule,M,oef,Deutschland,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Österreich,19
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Nordamerika,20
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Mittel- und Südamerika,8
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,F,oef,Italien,3
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Nord-/Westeuropa,2
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Türkei,1
23.11.2020,zh,2000,Sekundarstufe II,Informatikmittelschule,F,oef,Schweiz,5
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Australien,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Nordamerika,3
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Staat unbekannt,2
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,F,oef,Spanien,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Serbien,3
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Liechtenstein,2
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Süd-/Osteuropa,3
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Nordmazedonien,1
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Italien,25
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Nordamerika,23
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Deutschland,13
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Australien,3
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Süd-/Osteuropa,4
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Australien,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Spanien,29
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Afrika,3
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Bosnien und Herzegowina,2
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Nordmazedonien,1
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Frankreich,12
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,M,oef,Schweiz,26
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,M,oef,Nordmazedonien,1
