steuerjahr,einkommensklasse,anzahl_pflichtige,steuerbares_einkommen_in_mio,staatssteuer,anteil_pflichtige,anteil_einkommen,anteil_steuer,kumuliert_anteil_pflichtige,kumuliert_anteil_einkommen,kumuliert_steuer_anteil
2012,150000  -  199999,24521,4191.8659,287.808384,2.966880462098196,7.730748271849541,9.302812719651033,96.66021771561941,79.85084139493718,65.50400767832699
2012,200000  -  299999,15963,3807.9054,300.385913,1.9314184909454548,7.022638317322255,9.7093554170416,98.59163620656486,86.87347971225942,75.21336309536858
2012,300000  -  Inf,11640,7117.6309,766.843548,1.4083637934351372,13.126520287740572,24.78663690463141,100,100,100
2013,0  -  999,58748,2.1786,0,6.999926125924319,0.0039259208469808226,0,6.999926125924319,0.0039259208469808226,0
2013,1000  -  9999,53439,280.9378,0.44753,6.367349564977015,0.5062607021596113,0.014073844666391173,13.367275690901334,0.5101866230065921,0.014073844666391173
2013,10000  -  19999,54569,824.7376,10.366508,6.501991025491321,1.486208820861531,0.3260041188856645,19.869266716392655,1.996395443868123,0.34007796355205566
2013,20000  -  29999,69041,1716.385,37.765292,8.226354933954193,3.092991670313587,1.1876362554217712,28.09562165034685,5.08938711418171,1.5277142189738269
2013,30000  -  39999,81125,2843.2015,82.005534,9.666184499312495,5.12355826724371,2.578895598731839,37.76180614965934,10.21294538142542,4.106609817705666
2013,40000  -  49999,94541,4241.5632,148.080536,11.264724175648722,7.643459740506145,4.6568106311977875,49.026530325308066,17.856405121931566,8.763420448903453
2013,50000  -  59999,89361,4891.4313,194.546989,10.647518188512343,8.814547008282617,6.118079466181289,59.67404851382041,26.670952130214182,14.881499915084742
2013,60000  -  69999,74673,4828.2668,212.122843,8.897417505296294,8.700722154092256,6.670801829095886,68.5714660191167,35.37167428430644,21.552301744180628
2013,70000  -  79999,57162,4267.5041,202.011983,6.810951474264416,7.690206238302642,6.352837283515416,75.38241749338113,43.06188052260908,27.905139027696045
2013,80000  -  89999,42746,3619.2011,182.035047,5.093260062959777,6.521939340817923,5.7246061164999364,80.4756775563409,49.583819863427,33.62974514419598
2013,90000  -  99999,32299,3057.6404000000002,161.266362,3.8484818877447675,5.509985398389233,5.071476166295015,84.32415944408567,55.093805261816236,38.70122131049099
2013,100000  -  149999,78191,9364.0956,552.452715,9.31659330891517,16.874459804076654,17.37343573936065,93.64075275300084,71.9682650658929,56.074657049851645
